RegionNum,State,Hexagon,PointID,Site,Treatment,Runnel_Year0,Point_X,Point_Y,SurveyMethod,VisitNum,SurveyWindow,SurveyDate,Year,Month,Day,Observer,Tide,SurveyTime,TempF,Sky,WindSp,Noise,AlphaCode,DistBand,TotalCountN,Min 1,Min 2,Min 3,Min 4,Min 5,Min 6,Min 7,Min 8,Min 9,Min 10,Min 11,Outside,Comments
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,RWBL,0-50m,3,1,2,0,0,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,SOSP,0-50m,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,YEWA,51-100m,3,1,1,0,1,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,COYE,51-100m,2,1,1,0,0,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,SALS,0-50m,2,1,0,1,0,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,GRYE,0-50m,1,0,1,0,0,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,MALL,51-100m,2,0,0,2,0,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,RWBL,51-100m,1,0,0,0,1,0,0,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,COGR,51-100m,1,0,0,0,0,0,1,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,SOSP,51-100m,1,0,0,0,0,0,1,0,0,0,0,0,0,
2,MA,,BC NAC,Broad Cove,NAC,,-71.1339,41.795,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:22,66,2,2,3,COGR,0-50m,2,0,0,0,0,0,0,0,0,0,0,2,0,
2,MA,,BC REF,Broad Cove,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:44,64,2,3,3,RWBL,0-50m,2,2,0,0,0,0,0,0,0,0,0,0,0,
2,MA,,BC REF,Broad Cove,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:44,64,2,3,3,SOSP,0-50m,1,1,0,0,0,0,0,0,0,0,0,0,0,
2,MA,,BC REF,Broad Cove,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:44,64,2,3,3,AMRO,51-100m,2,1,0,0,0,0,0,0,0,0,0,1,0,
2,MA,,BC REF,Broad Cove,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:44,64,2,3,3,MODO,0-50m,1,0,0,1,0,0,0,0,0,0,0,0,0,
2,MA,,BC REF,Broad Cove,REF,,-71.13286,41.79348,Foot – survey conducted while standing on the ground,1,1,5/23/2022,2022,5,23,JLG,Low,8:44,64,2,3,3,COYE,51-100m,1,0,0,1,0,0,0,0,0,0,0,0,0,
