"","model","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","SPALT","Overall_Treatment",1260.64417204036,630.32208602018,2,94.9802482618619,13.3059236813039,8.04706216806446e-06
"2","SPALT","Time_Since_Restoration",6.09300642087786,6.09300642087786,1,117.242975031268,0.128621668546927,0.720510429397316
"3","SPALT","Overall_Treatment:Time_Since_Restoration",51.9509853013684,25.9754926506842,2,116.900876743751,0.548335415274039,0.579390050508063
"4","High Marsh Graminoid","Overall_Treatment",4416.04082299841,2208.02041149921,2,100.414113907156,51.5649531966671,3.91996654105272e-16
"5","High Marsh Graminoid","Time_Since_Restoration",13.7868521900567,13.7868521900567,1,114.295224337895,0.321970931159527,0.571538435821955
"6","High Marsh Graminoid","Overall_Treatment:Time_Since_Restoration",376.469418940017,188.234709470009,2,113.739438177708,4.39593489863565,0.0144897632239002
"7","Abiotic Cover","Overall_Treatment",2468.96816042332,1234.48408021166,2,88.5784440015723,22.9322397728944,9.42658682899678e-09
"8","Abiotic Cover","Time_Since_Restoration",0.590344246840372,0.590344246840372,1,109.248665562609,0.0109664563797137,0.916789336958622
"9","Abiotic Cover","Overall_Treatment:Time_Since_Restoration",319.896858422855,159.948429211427,2,109.116844819718,2.97126207520261,0.0553999357477631
"10","Canopy Height","Overall_Treatment",13.9109209721225,6.95546048606125,2,89.0132571492594,0.18031308614414,0.835312968622389
"11","Canopy Height","Time_Since_Restoration",378.012790772007,378.012790772007,1,112.778074684352,9.79958883278163,0.00222291422049841
"12","Canopy Height","Overall_Treatment:Time_Since_Restoration",100.924810835021,50.4624054175104,2,112.549793266216,1.30818542831528,0.274388092937542
"13","High Marsh Ratio","Overall_Treatment",0.407741674672718,0.203870837336359,2,100.540268900429,27.5273912868722,2.92402136840096e-10
"14","High Marsh Ratio","Time_Since_Restoration",0.00205753593505946,0.00205753593505946,1,114.250467618064,0.277816079588354,0.599158182825065
"15","High Marsh Ratio","Overall_Treatment:Time_Since_Restoration",0.053196356032848,0.026598178016424,2,113.697657062334,3.59138395339983,0.0307303465935565
